"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"KRT191",4.25869366678787e-13,0.331578970316251,0.63,0.453,1.37521735887914e-08,"2","KRT19"
"SERPING1",4.51314936787924e-13,0.323241966963231,0.288,0.159,1.45738619387556e-08,"2","SERPING1"
"IER2",1.7517912015603e-12,0.625769066157138,0.508,0.372,5.65688414807853e-08,"2","IER2"
"SOX4",2.13778486156723e-12,0.72609062409344,0.394,0.272,6.90333487497289e-08,"2","SOX4"
"PPA1",2.29653251219443e-12,0.506218445959558,0.272,0.155,7.41596278837827e-08,"2","PPA1"
"TMED3",9.37791012513182e-12,0.648901928168122,0.272,0.161,3.02831473760757e-07,"2","TMED3"
"S100A61",9.70478188989548e-12,0.319685705657894,0.867,0.727,3.13386816788505e-07,"2","S100A6"
"HES11",1.63952995399449e-11,0.730732481462484,0.37,0.253,5.29437012743901e-07,"2","HES1"
"DUSP1",1.86059065064336e-11,0.669082529835943,0.294,0.18,6.00821932905755e-07,"2","DUSP1"
"EFNA11",1.96502863247056e-11,0.651815904405603,0.325,0.207,6.34547045997394e-07,"2","EFNA1"
"NR4A11",2.99415630086481e-11,0.777951186460009,0.462,0.343,9.66872952675266e-07,"2","NR4A1"
"GPX4",3.74080526063525e-11,0.49760618774386,0.314,0.195,1.20798083476433e-06,"2","GPX4"
"KDELR1",9.54629201039879e-11,0.505725273128726,0.288,0.175,3.08268861599798e-06,"2","KDELR1"
"NPC2",9.70219363373087e-11,0.586802998286917,0.364,0.247,3.13303236820437e-06,"2","NPC2"
"APLP2",1.16966347328357e-10,0.457019977471211,0.281,0.168,3.77707728792731e-06,"2","APLP2"
"ACADVL",1.95909082236485e-10,0.568635067024753,0.318,0.207,6.32629608358057e-06,"2","ACADVL"
"GSN",2.33223623749724e-10,0.500063938786338,0.333,0.215,7.5312572581261e-06,"2","GSN"
"CXCL81",3.84960078945126e-10,1.07568529513595,0.338,0.237,1.2431130869296e-05,"2","CXCL8"
"RARRES3",9.3977404903951e-10,0.333371523961829,0.32,0.2,3.03471835915839e-05,"2","RARRES3"
"TMEM219",9.66256360861918e-10,0.489493402167847,0.251,0.151,3.12023504049531e-05,"2","TMEM219"
"HDLBP",3.32648241956177e-09,0.523769029596366,0.322,0.216,0.000107418770292489,"2","HDLBP"
"RP1.17K7.21",7.42626459151923e-09,0.859593880268519,0.623,0.555,0.000239808936189339,"2","RP1.17K7.2"
"CTSD",1.16145073655127e-08,0.319736722691346,0.37,0.26,0.000375055671847137,"2","CTSD"
"XAF1",1.8519380753512e-08,0.524070613373721,0.51,0.399,0.000598027843292409,"2","XAF1"
"KLF51",2.14144230932672e-08,0.482224017917218,0.288,0.19,0.000691514550527785,"2","KLF5"
"POLR2L",2.42685653814365e-08,0.439196072626914,0.322,0.219,0.000783680513297349,"2","POLR2L"
"HLA.F1",2.7095053528439e-08,0.442968056540163,0.407,0.3,0.000874953468540354,"2","HLA.F"
"ATP1A11",3.51219379014517e-08,0.398551914335139,0.418,0.307,0.00113415761871368,"2","ATP1A1"
"GLTSCR21",5.48688575934108e-08,0.394260749104879,0.357,0.25,0.00177182514940642,"2","GLTSCR2"
"LY6E1",5.97863356917358e-08,0.277468080245475,0.673,0.555,0.00193062035215753,"2","LY6E"
"DDR11",7.96959594213667e-08,0.565789829767608,0.344,0.25,0.00257354192163477,"2","DDR1"
"GPX1",1.25295245913937e-07,0.426118773894632,0.261,0.17,0.00404603408105284,"2","GPX1"
"DDX171",1.63235964270145e-07,0.435936573350038,0.449,0.343,0.00527121575821151,"2","DDX17"
"PFDN51",2.23100224622652e-07,0.350229391628019,0.501,0.413,0.00720435245351469,"2","PFDN5"
"SNRNP70",3.11321907147077e-07,0.490808871961573,0.27,0.184,0.0100532070255934,"2","SNRNP70"
"PNISR",5.34433919668548e-07,0.427751955986886,0.29,0.197,0.0172579401339367,"2","PNISR"
"SEC61B",1.33425149007159e-06,0.354228553205346,0.338,0.244,0.0430856491173919,"2","SEC61B"
